

[2026-08-31 16:50:09] Startup - updater built Dec  2 2013 18:43:44
[2026-08-31 16:50:09] Checking for update on startup
[2026-08-31 16:50:09] Checking for available update...
[2026-08-31 16:50:10] Download failed: http error 0
[2026-08-31 16:50:10] Package file steamcmd_public_all.zip.ea97f8fd711e4ae492274da96e83bf31eb804528 missing or incorrect size
[2026-08-31 16:50:10] Package file steamcmd_bins_win32.zip.7ae579f513787b332395a86b4515b400c2f57eaa missing or incorrect size
[2026-08-31 16:50:10] Package file steamcmd_steamservice_win32.zip.27fe69fc971de8c9fe785daa7a934921369d725b missing or incorrect size
[2026-08-31 16:50:10] Package file steamcmd_steamerrorreporter_win32.zip.e8bd4e7243ba4a8745195d2435b4ed2a9a7d8aa2 missing or incorrect size
[2026-08-31 16:50:10] Package file steamcmd_siteserverui_win32.zip.4760659039c6d35313324e11ff600d519924b220 missing or incorrect size
[2026-08-31 16:50:10] Package file steamcmd_win32.zip.ae4a6f47ec93a6d7c6216d3a0638060ffd31dc62 missing or incorrect size
[2026-08-31 16:50:10] Downloading update (0 of 43,472 KB)...
[2026-08-31 16:50:11] Error: Download of package (steamcmd_win32) failed after 0 bytes (0).
[2026-08-31 16:50:11] Error: Download of package (steamcmd_siteserverui_win32) failed after 0 bytes (0).
[2026-08-31 16:50:11] Error: Download of package (steamcmd_steamerrorreporter_win32) failed after 0 bytes (0).
[2026-08-31 16:50:11] Error: Download of package (steamcmd_steamservice_win32) failed after 0 bytes (0).
[2026-08-31 16:50:11] Error: Download of package (steamcmd_bins_win32) failed after 0 bytes (0).
[2026-08-31 16:50:11] Error: Download of package (steamcmd_public_all) failed after 0 bytes (0).
[2026-08-31 16:50:11] Package file steamcmd_public_all.zip.ea97f8fd711e4ae492274da96e83bf31eb804528 missing or incorrect size
[2026-08-31 16:50:11] Package file steamcmd_bins_win32.zip.7ae579f513787b332395a86b4515b400c2f57eaa missing or incorrect size
[2026-08-31 16:50:11] Package file steamcmd_steamservice_win32.zip.27fe69fc971de8c9fe785daa7a934921369d725b missing or incorrect size
[2026-08-31 16:50:11] Package file steamcmd_steamerrorreporter_win32.zip.e8bd4e7243ba4a8745195d2435b4ed2a9a7d8aa2 missing or incorrect size
[2026-08-31 16:50:11] Package file steamcmd_siteserverui_win32.zip.4760659039c6d35313324e11ff600d519924b220 missing or incorrect size
[2026-08-31 16:50:11] Package file steamcmd_win32.zip.ae4a6f47ec93a6d7c6216d3a0638060ffd31dc62 missing or incorrect size
[2026-08-31 16:50:11] Downloading update (15 of 43,472 KB)...
[2026-08-31 16:50:11] Downloading update (115 of 43,472 KB)...
[2026-08-31 16:50:12] Downloading update (261 of 43,472 KB)...
[2026-08-31 16:50:12] Downloading update (377 of 43,472 KB)...
[2026-08-31 16:50:12] Downloading update (470 of 43,472 KB)...
[2026-08-31 16:50:26] Downloading update (9,538 of 43,472 KB)...
[2026-08-31 16:50:26] Downloading update (9,753 of 43,472 KB)...
[2026-08-31 16:50:27] Downloading update (9,831 of 43,472 KB)...
[2026-08-31 16:50:27] Downloading update (9,859 of 43,472 KB)...
[2026-08-31 16:50:27] Downloading update (9,942 of 43,472 KB)...
[2026-08-31 16:50:27] Downloading update (10,272 of 43,472 KB)...
[2026-08-31 16:50:28] Downloading update (10,614 of 43,472 KB)...
[2026-08-31 16:50:28] Downloading update (10,835 of 43,472 KB)...
[2026-08-31 16:50:28] Downloading update (11,187 of 43,472 KB)...
[2026-08-31 16:50:28] Downloading update (11,393 of 43,472 KB)...
[2026-08-31 16:50:29] Downloading update (11,718 of 43,472 KB)...
[2026-08-31 16:50:29] Downloading update (12,036 of 43,472 KB)...
[2026-08-31 16:50:29] Downloading update (12,118 of 43,472 KB)...
[2026-08-31 16:50:30] Downloading update (12,124 of 43,472 KB)...
[2026-08-31 16:50:30] Downloading update (12,127 of 43,472 KB)...
[2026-08-31 16:50:30] Downloading update (12,129 of 43,472 KB)...
[2026-08-31 16:50:31] Downloading update (12,179 of 43,472 KB)...
[2026-08-31 16:50:31] Downloading update (12,200 of 43,472 KB)...
[2026-08-31 16:50:32] Downloading update (12,201 of 43,472 KB)...
[2026-08-31 16:50:33] Downloading update (12,203 of 43,472 KB)...
[2026-08-31 16:50:33] Downloading update (12,204 of 43,472 KB)...
[2026-08-31 16:50:34] Downloading update (12,206 of 43,472 KB)...
[2026-08-31 16:50:35] Downloading update (12,217 of 43,472 KB)...
[2026-08-31 16:50:35] Downloading update (12,240 of 43,472 KB)...
[2026-08-31 16:50:35] Downloading update (12,249 of 43,472 KB)...
[2026-08-31 16:50:38] Downloading update (12,502 of 43,472 KB)...
[2026-08-31 16:50:38] Downloading update (12,589 of 43,472 KB)...
[2026-08-31 16:50:39] Downloading update (12,719 of 43,472 KB)...
[2026-08-31 16:50:39] Downloading update (12,725 of 43,472 KB)...
[2026-08-31 16:50:40] Downloading update (12,788 of 43,472 KB)...
[2026-08-31 16:50:40] Downloading update (13,044 of 43,472 KB)...
[2026-08-31 16:50:40] Downloading update (13,233 of 43,472 KB)...
[2026-08-31 16:50:40] Downloading update (13,243 of 43,472 KB)...
[2026-08-31 16:50:41] Downloading update (13,250 of 43,472 KB)...
[2026-08-31 16:50:41] Downloading update (13,253 of 43,472 KB)...
[2026-08-31 16:50:41] Downloading update (13,350 of 43,472 KB)...
[2026-08-31 16:50:42] Downloading update (13,358 of 43,472 KB)...
[2026-08-31 16:50:42] Downloading update (13,584 of 43,472 KB)...
[2026-08-31 16:50:42] Downloading update (13,804 of 43,472 KB)...
[2026-08-31 16:50:42] Downloading update (14,049 of 43,472 KB)...
[2026-08-31 16:50:43] Downloading update (14,198 of 43,472 KB)...
[2026-08-31 16:50:43] Downloading update (14,207 of 43,472 KB)...
[2026-08-31 16:50:43] Downloading update (14,495 of 43,472 KB)...
[2026-08-31 16:50:43] Downloading update (14,638 of 43,472 KB)...
[2026-08-31 16:50:44] Downloading update (14,803 of 43,472 KB)...
[2026-08-31 16:50:44] Downloading update (14,946 of 43,472 KB)...
[2026-08-31 16:50:44] Downloading update (15,215 of 43,472 KB)...
[2026-08-31 16:50:45] Downloading update (15,443 of 43,472 KB)...
[2026-08-31 16:50:45] Downloading update (15,615 of 43,472 KB)...
[2026-08-31 16:50:45] Downloading update (15,710 of 43,472 KB)...
[2026-08-31 16:50:45] Downloading update (16,050 of 43,472 KB)...
[2026-08-31 16:50:46] Downloading update (16,407 of 43,472 KB)...
[2026-08-31 16:50:46] Downloading update (16,479 of 43,472 KB)...
[2026-08-31 16:50:46] Downloading update (16,725 of 43,472 KB)...
[2026-08-31 16:50:46] Downloading update (16,835 of 43,472 KB)...
[2026-08-31 16:50:47] Downloading update (17,021 of 43,472 KB)...
[2026-08-31 16:50:47] Downloading update (17,278 of 43,472 KB)...
[2026-08-31 16:50:47] Downloading update (17,404 of 43,472 KB)...
[2026-08-31 16:50:48] Downloading update (17,434 of 43,472 KB)...
[2026-08-31 16:50:48] Downloading update (17,620 of 43,472 KB)...
[2026-08-31 16:50:48] Downloading update (17,903 of 43,472 KB)...
[2026-08-31 16:50:48] Downloading update (18,015 of 43,472 KB)...
[2026-08-31 16:50:49] Downloading update (18,223 of 43,472 KB)...
[2026-08-31 16:50:49] Downloading update (18,305 of 43,472 KB)...
[2026-08-31 16:50:49] Downloading update (18,583 of 43,472 KB)...
[2026-08-31 16:50:49] Downloading update (18,696 of 43,472 KB)...
[2026-08-31 16:50:50] Downloading update (18,867 of 43,472 KB)...
[2026-08-31 16:50:50] Downloading update (19,011 of 43,472 KB)...
[2026-08-31 16:50:50] Downloading update (19,427 of 43,472 KB)...
[2026-08-31 16:50:50] Downloading update (19,588 of 43,472 KB)...
[2026-08-31 16:50:51] Downloading update (19,850 of 43,472 KB)...
[2026-08-31 16:50:51] Downloading update (20,078 of 43,472 KB)...
[2026-08-31 16:50:52] Downloading update (20,344 of 43,472 KB)...
[2026-08-31 16:50:52] Downloading update (20,515 of 43,472 KB)...
[2026-08-31 16:50:52] Downloading update (20,560 of 43,472 KB)...
[2026-08-31 16:50:52] Downloading update (20,834 of 43,472 KB)...
[2026-08-31 16:50:53] Downloading update (20,933 of 43,472 KB)...
[2026-08-31 16:50:53] Downloading update (21,077 of 43,472 KB)...
[2026-08-31 16:50:53] Downloading update (21,128 of 43,472 KB)...
[2026-08-31 16:50:53] Downloading update (21,520 of 43,472 KB)...
[2026-08-31 16:50:54] Downloading update (21,694 of 43,472 KB)...
[2026-08-31 16:50:54] Downloading update (21,959 of 43,472 KB)...
[2026-08-31 16:50:54] Downloading update (22,068 of 43,472 KB)...
[2026-08-31 16:50:54] Downloading update (22,325 of 43,472 KB)...
[2026-08-31 16:50:55] Downloading update (22,429 of 43,472 KB)...
[2026-08-31 16:50:55] Downloading update (22,434 of 43,472 KB)...
[2026-08-31 16:50:55] Downloading update (22,586 of 43,472 KB)...
[2026-08-31 16:50:55] Downloading update (22,603 of 43,472 KB)...
[2026-08-31 16:50:56] Downloading update (22,633 of 43,472 KB)...
[2026-08-31 16:50:56] Downloading update (22,785 of 43,472 KB)...
[2026-08-31 16:50:56] Downloading update (22,845 of 43,472 KB)...
[2026-08-31 16:50:56] Downloading update (23,044 of 43,472 KB)...
[2026-08-31 16:50:57] Downloading update (23,047 of 43,472 KB)...
[2026-08-31 16:50:57] Downloading update (23,135 of 43,472 KB)...
[2026-08-31 16:50:57] Downloading update (23,168 of 43,472 KB)...
[2026-08-31 16:50:58] Downloading update (23,182 of 43,472 KB)...
[2026-08-31 16:50:58] Downloading update (23,185 of 43,472 KB)...
[2026-08-31 16:50:58] Downloading update (23,263 of 43,472 KB)...
[2026-08-31 16:50:59] Downloading update (23,323 of 43,472 KB)...
[2026-08-31 16:50:59] Downloading update (23,558 of 43,472 KB)...
[2026-08-31 16:50:59] Downloading update (23,569 of 43,472 KB)...
[2026-08-31 16:50:59] Downloading update (23,573 of 43,472 KB)...
[2026-08-31 16:51:00] Downloading update (23,579 of 43,472 KB)...
[2026-08-31 16:51:00] Downloading update (23,634 of 43,472 KB)...
[2026-08-31 16:51:00] Downloading update (23,635 of 43,472 KB)...
[2026-08-31 16:51:01] Downloading update (23,754 of 43,472 KB)...
[2026-08-31 16:51:01] Downloading update (23,928 of 43,472 KB)...
[2026-08-31 16:51:01] Downloading update (24,139 of 43,472 KB)...
[2026-08-31 16:51:01] Downloading update (24,214 of 43,472 KB)...
[2026-08-31 16:51:02] Downloading update (24,448 of 43,472 KB)...
[2026-08-31 16:51:02] Downloading update (24,599 of 43,472 KB)...
[2026-08-31 16:51:02] Downloading update (24,726 of 43,472 KB)...
[2026-08-31 16:51:02] Downloading update (24,951 of 43,472 KB)...
[2026-08-31 16:51:03] Downloading update (25,153 of 43,472 KB)...
[2026-08-31 16:51:03] Downloading update (25,487 of 43,472 KB)...
[2026-08-31 16:51:03] Downloading update (25,548 of 43,472 KB)...
[2026-08-31 16:51:03] Downloading update (25,629 of 43,472 KB)...
[2026-08-31 16:51:04] Downloading update (25,791 of 43,472 KB)...
[2026-08-31 16:51:04] Downloading update (25,859 of 43,472 KB)...
[2026-08-31 16:51:04] Downloading update (25,989 of 43,472 KB)...
[2026-08-31 16:51:05] Downloading update (25,990 of 43,472 KB)...
[2026-08-31 16:51:05] Downloading update (25,994 of 43,472 KB)...
[2026-08-31 16:51:05] Downloading update (25,997 of 43,472 KB)...
[2026-08-31 16:51:06] Downloading update (26,000 of 43,472 KB)...
[2026-08-31 16:51:07] Downloading update (26,003 of 43,472 KB)...
[2026-08-31 16:51:07] Downloading update (26,006 of 43,472 KB)...
[2026-08-31 16:51:08] Downloading update (26,007 of 43,472 KB)...
[2026-08-31 16:51:12] Downloading update (26,014 of 43,472 KB)...
[2026-08-31 16:51:14] Downloading update (26,103 of 43,472 KB)...
[2026-08-31 16:51:16] Downloading update (26,231 of 43,472 KB)...
[2026-08-31 16:51:16] Downloading update (26,417 of 43,472 KB)...
[2026-08-31 16:51:16] Downloading update (26,518 of 43,472 KB)...
[2026-08-31 16:51:17] Downloading update (26,519 of 43,472 KB)...
[2026-08-31 16:51:19] Downloading update (26,524 of 43,472 KB)...
[2026-08-31 16:51:19] Downloading update (26,526 of 43,472 KB)...
[2026-08-31 16:51:20] Downloading update (26,528 of 43,472 KB)...
[2026-08-31 16:51:20] Downloading update (26,531 of 43,472 KB)...
[2026-08-31 16:51:21] Downloading update (26,533 of 43,472 KB)...
[2026-08-31 16:51:21] Downloading update (26,535 of 43,472 KB)...
[2026-08-31 16:51:22] Downloading update (26,536 of 43,472 KB)...
[2026-08-31 16:51:23] Downloading update (26,539 of 43,472 KB)...
[2026-08-31 16:51:23] Downloading update (26,609 of 43,472 KB)...
[2026-08-31 16:51:23] Downloading update (26,657 of 43,472 KB)...
[2026-08-31 16:51:23] Downloading update (26,939 of 43,472 KB)...
[2026-08-31 16:51:24] Downloading update (27,224 of 43,472 KB)...
[2026-08-31 16:51:24] Downloading update (27,529 of 43,472 KB)...
[2026-08-31 16:51:24] Downloading update (27,656 of 43,472 KB)...
[2026-08-31 16:51:24] Downloading update (27,848 of 43,472 KB)...
[2026-08-31 16:51:25] Downloading update (27,928 of 43,472 KB)...
[2026-08-31 16:51:25] Downloading update (28,222 of 43,472 KB)...
[2026-08-31 16:51:25] Downloading update (28,312 of 43,472 KB)...
[2026-08-31 16:51:25] Downloading update (28,315 of 43,472 KB)...
[2026-08-31 16:51:26] Downloading update (28,487 of 43,472 KB)...
[2026-08-31 16:51:26] Downloading update (28,796 of 43,472 KB)...
[2026-08-31 16:51:26] Downloading update (28,911 of 43,472 KB)...
[2026-08-31 16:51:27] Downloading update (28,966 of 43,472 KB)...
[2026-08-31 16:51:27] Downloading update (29,002 of 43,472 KB)...
[2026-08-31 16:51:27] Downloading update (29,069 of 43,472 KB)...
[2026-08-31 16:51:28] Downloading update (29,260 of 43,472 KB)...
[2026-08-31 16:51:28] Downloading update (29,362 of 43,472 KB)...
[2026-08-31 16:51:28] Downloading update (29,672 of 43,472 KB)...
[2026-08-31 16:51:28] Downloading update (29,888 of 43,472 KB)...
[2026-08-31 16:51:29] Downloading update (30,079 of 43,472 KB)...
[2026-08-31 16:51:29] Downloading update (30,350 of 43,472 KB)...
[2026-08-31 16:51:29] Downloading update (30,539 of 43,472 KB)...
[2026-08-31 16:51:29] Downloading update (30,725 of 43,472 KB)...
[2026-08-31 16:51:30] Downloading update (30,918 of 43,472 KB)...
[2026-08-31 16:51:30] Downloading update (31,036 of 43,472 KB)...
[2026-08-31 16:51:30] Downloading update (31,305 of 43,472 KB)...
[2026-08-31 16:51:30] Downloading update (31,518 of 43,472 KB)...
[2026-08-31 16:51:31] Downloading update (31,632 of 43,472 KB)...
[2026-08-31 16:51:31] Downloading update (31,818 of 43,472 KB)...
[2026-08-31 16:51:31] Downloading update (31,899 of 43,472 KB)...
[2026-08-31 16:51:32] Downloading update (32,027 of 43,472 KB)...
[2026-08-31 16:51:32] Downloading update (32,061 of 43,472 KB)...
[2026-08-31 16:51:32] Downloading update (32,083 of 43,472 KB)...
[2026-08-31 16:51:32] Downloading update (32,235 of 43,472 KB)...
[2026-08-31 16:51:33] Downloading update (32,238 of 43,472 KB)...
[2026-08-31 16:51:33] Downloading update (32,511 of 43,472 KB)...
[2026-08-31 16:51:34] Downloading update (32,630 of 43,472 KB)...
[2026-08-31 16:51:34] Downloading update (32,640 of 43,472 KB)...
[2026-08-31 16:51:36] Downloading update (32,645 of 43,472 KB)...
[2026-08-31 16:51:37] Downloading update (32,647 of 43,472 KB)...
[2026-08-31 16:51:38] Downloading update (32,650 of 43,472 KB)...
[2026-08-31 16:51:39] Downloading update (32,652 of 43,472 KB)...
[2026-08-31 16:51:40] Downloading update (32,678 of 43,472 KB)...
[2026-08-31 16:51:40] Downloading update (32,791 of 43,472 KB)...
[2026-08-31 16:51:41] Downloading update (32,834 of 43,472 KB)...
[2026-08-31 16:51:41] Downloading update (32,838 of 43,472 KB)...
[2026-08-31 16:51:41] Downloading update (32,839 of 43,472 KB)...
[2026-08-31 16:51:42] Downloading update (32,945 of 43,472 KB)...
[2026-08-31 16:51:43] Downloading update (33,003 of 43,472 KB)...
[2026-08-31 16:51:43] Downloading update (33,032 of 43,472 KB)...
[2026-08-31 16:51:43] Downloading update (33,077 of 43,472 KB)...
[2026-08-31 16:51:44] Downloading update (33,101 of 43,472 KB)...
[2026-08-31 16:51:45] Downloading update (33,295 of 43,472 KB)...
[2026-08-31 16:51:45] Downloading update (33,335 of 43,472 KB)...
[2026-08-31 16:51:45] Downloading update (33,344 of 43,472 KB)...
[2026-08-31 16:51:46] Downloading update (33,496 of 43,472 KB)...
[2026-08-31 16:51:46] Downloading update (33,540 of 43,472 KB)...
[2026-08-31 16:51:47] Downloading update (33,794 of 43,472 KB)...
[2026-08-31 16:51:47] Downloading update (33,866 of 43,472 KB)...
[2026-08-31 16:51:48] Downloading update (33,997 of 43,472 KB)...
[2026-08-31 16:51:48] Downloading update (34,045 of 43,472 KB)...
[2026-08-31 16:51:48] Downloading update (34,064 of 43,472 KB)...
[2026-08-31 16:51:49] Downloading update (34,343 of 43,472 KB)...
[2026-08-31 16:51:49] Downloading update (34,458 of 43,472 KB)...
[2026-08-31 16:51:49] Downloading update (34,513 of 43,472 KB)...
[2026-08-31 16:51:49] Downloading update (34,627 of 43,472 KB)...
[2026-08-31 16:51:50] Downloading update (34,732 of 43,472 KB)...
[2026-08-31 16:51:50] Downloading update (34,817 of 43,472 KB)...
[2026-08-31 16:51:50] Downloading update (34,938 of 43,472 KB)...
[2026-08-31 16:51:51] Downloading update (35,027 of 43,472 KB)...
[2026-08-31 16:51:51] Downloading update (35,030 of 43,472 KB)...
[2026-08-31 16:51:51] Downloading update (35,231 of 43,472 KB)...
[2026-08-31 16:51:51] Downloading update (35,382 of 43,472 KB)...
[2026-08-31 16:51:52] Downloading update (35,518 of 43,472 KB)...
[2026-08-31 16:51:52] Downloading update (35,536 of 43,472 KB)...
[2026-08-31 16:51:52] Downloading update (35,743 of 43,472 KB)...
[2026-08-31 16:51:52] Downloading update (35,894 of 43,472 KB)...
[2026-08-31 16:51:53] Downloading update (36,092 of 43,472 KB)...
[2026-08-31 16:51:53] Downloading update (36,242 of 43,472 KB)...
[2026-08-31 16:51:53] Downloading update (36,424 of 43,472 KB)...
[2026-08-31 16:51:53] Downloading update (36,559 of 43,472 KB)...
[2026-08-31 16:51:54] Downloading update (36,760 of 43,472 KB)...
[2026-08-31 16:51:54] Downloading update (36,838 of 43,472 KB)...
[2026-08-31 16:51:54] Downloading update (36,928 of 43,472 KB)...
[2026-08-31 16:51:54] Downloading update (36,931 of 43,472 KB)...
[2026-08-31 16:51:55] Downloading update (37,037 of 43,472 KB)...
[2026-08-31 16:51:55] Downloading update (37,120 of 43,472 KB)...
[2026-08-31 16:51:55] Downloading update (37,179 of 43,472 KB)...
[2026-08-31 16:51:55] Downloading update (37,306 of 43,472 KB)...
[2026-08-31 16:51:56] Downloading update (37,341 of 43,472 KB)...
[2026-08-31 16:51:56] Downloading update (37,424 of 43,472 KB)...
[2026-08-31 16:51:56] Downloading update (37,545 of 43,472 KB)...
[2026-08-31 16:51:56] Downloading update (37,674 of 43,472 KB)...
[2026-08-31 16:51:57] Downloading update (37,713 of 43,472 KB)...
[2026-08-31 16:51:57] Downloading update (37,717 of 43,472 KB)...
[2026-08-31 16:51:57] Downloading update (37,798 of 43,472 KB)...
[2026-08-31 16:51:57] Downloading update (38,041 of 43,472 KB)...
[2026-08-31 16:51:58] Downloading update (38,083 of 43,472 KB)...
[2026-08-31 16:51:58] Downloading update (38,275 of 43,472 KB)...
[2026-08-31 16:51:58] Downloading update (38,386 of 43,472 KB)...
[2026-08-31 16:51:59] Downloading update (38,523 of 43,472 KB)...
[2026-08-31 16:51:59] Downloading update (38,561 of 43,472 KB)...
[2026-08-31 16:51:59] Downloading update (38,790 of 43,472 KB)...
[2026-08-31 16:52:00] Downloading update (38,792 of 43,472 KB)...
[2026-08-31 16:52:00] Downloading update (38,819 of 43,472 KB)...
[2026-08-31 16:52:00] Downloading update (38,989 of 43,472 KB)...
[2026-08-31 16:52:00] Downloading update (38,993 of 43,472 KB)...
[2026-08-31 16:52:01] Downloading update (39,088 of 43,472 KB)...
[2026-08-31 16:52:01] Downloading update (39,220 of 43,472 KB)...
[2026-08-31 16:52:01] Downloading update (39,278 of 43,472 KB)...
[2026-08-31 16:52:01] Downloading update (39,415 of 43,472 KB)...
[2026-08-31 16:52:02] Downloading update (39,494 of 43,472 KB)...
[2026-08-31 16:52:02] Downloading update (39,647 of 43,472 KB)...
[2026-08-31 16:52:02] Downloading update (39,714 of 43,472 KB)...
[2026-08-31 16:52:02] Downloading update (39,741 of 43,472 KB)...
[2026-08-31 16:52:03] Downloading update (39,797 of 43,472 KB)...
[2026-08-31 16:52:03] Downloading update (39,852 of 43,472 KB)...
[2026-08-31 16:52:03] Downloading update (39,859 of 43,472 KB)...
[2026-08-31 16:52:04] Downloading update (39,862 of 43,472 KB)...
[2026-08-31 16:52:04] Downloading update (39,904 of 43,472 KB)...
[2026-08-31 16:52:04] Downloading update (39,976 of 43,472 KB)...
[2026-08-31 16:52:05] Downloading update (40,053 of 43,472 KB)...
[2026-08-31 16:52:05] Downloading update (40,054 of 43,472 KB)...
[2026-08-31 16:52:05] Downloading update (40,112 of 43,472 KB)...
[2026-08-31 16:52:06] Downloading update (40,143 of 43,472 KB)...
[2026-08-31 16:52:06] Downloading update (40,185 of 43,472 KB)...
[2026-08-31 16:52:06] Downloading update (40,187 of 43,472 KB)...
[2026-08-31 16:52:07] Downloading update (40,249 of 43,472 KB)...
[2026-08-31 16:52:07] Downloading update (40,307 of 43,472 KB)...
[2026-08-31 16:52:07] Downloading update (40,367 of 43,472 KB)...
[2026-08-31 16:52:08] Downloading update (40,427 of 43,472 KB)...
[2026-08-31 16:52:08] Downloading update (40,446 of 43,472 KB)...
[2026-08-31 16:52:08] Downloading update (40,449 of 43,472 KB)...
[2026-08-31 16:52:08] Downloading update (40,525 of 43,472 KB)...
[2026-08-31 16:52:09] Downloading update (40,607 of 43,472 KB)...
[2026-08-31 16:52:09] Downloading update (40,684 of 43,472 KB)...
